family,conversation_id,peak_lfi,mean_lfi,cumulative_lfi,fragmentation_slope
Task_Decomposition,5,28,12.857142857142858,90,1.1785714285714286
Task_Decomposition,3,20,10.714285714285714,75,-0.0714285714285715
Task_Decomposition,1,20,13.714285714285714,96,1.25
Task_Decomposition,7,39,16.428571428571427,115,0.9642857142857144
Task_Decomposition,2,14,8.142857142857142,57,0.8928571428571428
Task_Decomposition,6,13,7.285714285714286,51,-0.39285714285714285
Task_Decomposition,4,29,20.0,140,0.7142857142857142
Task_Decomposition,8,37,24.142857142857142,169,0.7142857142857141
Task_Decomposition,12,13,7.428571428571429,52,0.4285714285714286
Task_Decomposition,15,10,5.428571428571429,38,0.25
Task_Decomposition,11,13,7.714285714285714,54,0.39285714285714296
Task_Decomposition,13,11,7.142857142857143,50,1.5714285714285714
Task_Decomposition,9,29,15.571428571428571,109,0.9285714285714285
Task_Decomposition,16,20,11.142857142857142,78,-0.6785714285714285
Task_Decomposition,10,12,8.142857142857142,57,0.8928571428571428
Task_Decomposition,14,12,6.285714285714286,44,1.5
Task_Decomposition,19,17,8.0,56,0.21428571428571427
Task_Decomposition,18,69,32.285714285714285,226,0.5
Task_Decomposition,22,44,19.571428571428573,137,2.7857142857142856
Task_Decomposition,20,36,17.857142857142858,125,2.964285714285714
Task_Decomposition,23,20,14.428571428571429,101,1.357142857142857
Task_Decomposition,21,28,12.285714285714286,86,1.25
Task_Decomposition,24,14,8.142857142857142,57,1.5357142857142856
Task_Decomposition,17,29,11.571428571428571,81,0.8928571428571428
Task_Decomposition,25,12,8.714285714285714,61,0.5357142857142856
Task_Decomposition,27,9,5.857142857142857,41,1.0357142857142856
Task_Decomposition,29,24,12.714285714285714,89,0.14285714285714285
Task_Decomposition,30,32,18.714285714285715,131,3.142857142857143
Task_Decomposition,28,36,17.0,119,-0.6071428571428571
Task_Decomposition,31,28,18.285714285714285,128,2.5
Task_Decomposition,32,33,14.571428571428571,102,-0.892857142857143
Task_Decomposition,26,48,23.285714285714285,163,1.6428571428571428
Task_Decomposition,33,21,10.857142857142858,76,1.6428571428571428
Task_Decomposition,34,36,21.857142857142858,153,-0.25
Task_Decomposition,36,15,8.571428571428571,60,1.6071428571428568
Task_Decomposition,37,13,7.0,49,1.1428571428571428
Task_Decomposition,35,20,9.428571428571429,66,0.4999999999999999
Task_Decomposition,39,20,8.857142857142858,62,1.25
Task_Decomposition,40,12,9.285714285714286,65,0.39285714285714285
Task_Decomposition,41,16,7.857142857142857,55,0.5357142857142857
Task_Decomposition,38,25,16.142857142857142,113,1.3928571428571428
Task_Decomposition,45,29,15.714285714285714,110,1.9285714285714284
Task_Decomposition,42,12,8.285714285714286,58,-0.3214285714285714
Task_Decomposition,43,12,9.714285714285714,68,0.5714285714285714
Task_Decomposition,48,18,7.142857142857143,50,0.6785714285714285
Task_Decomposition,47,16,10.142857142857142,71,0.3214285714285714
Task_Decomposition,44,20,11.285714285714286,79,-0.7857142857142857
Task_Decomposition,46,10,6.428571428571429,45,0.10714285714285714
Task_Decomposition,49,16,7.714285714285714,54,1.5357142857142854
Task_Decomposition,51,18,8.428571428571429,59,1.607142857142857
Task_Decomposition,50,21,7.857142857142857,55,-1.6428571428571428
Task_Decomposition,52,12,6.285714285714286,44,1.1785714285714286
Task_Decomposition,53,14,8.714285714285714,61,0.9642857142857142
Task_Decomposition,54,20,10.571428571428571,74,-1.0357142857142856
Task_Decomposition,57,17,11.571428571428571,81,0.8571428571428573
Task_Decomposition,56,6,4.285714285714286,30,0.7500000000000001
Task_Decomposition,55,21,16.142857142857142,113,2.0
Task_Decomposition,58,20,12.142857142857142,85,0.8214285714285714
Task_Decomposition,60,32,24.285714285714285,170,1.5357142857142856
Task_Decomposition,61,18,9.714285714285714,68,0.8571428571428571
Task_Decomposition,63,18,9.285714285714286,65,0.75
Task_Decomposition,65,22,9.571428571428571,67,2.0714285714285716
Task_Decomposition,62,44,20.714285714285715,145,-0.9285714285714285
Task_Decomposition,64,34,16.714285714285715,117,-3.3571428571428568
Task_Decomposition,59,8,4.571428571428571,32,0.14285714285714285
Task_Decomposition,66,26,9.857142857142858,69,2.7857142857142856
Task_Decomposition,67,18,14.0,98,1.357142857142857
Task_Decomposition,71,22,12.571428571428571,88,2.285714285714286
